"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 7 7 "begin" 7 NA 0 0.00999999999999998 0.02 FALSE FALSE
"mip" 7 7 "end" 7 NA 0 0.02 0.0100000000000002 FALSE FALSE
"mip" 7 7 "middle" 7 NA 0.02 0 0.02 FALSE FALSE
"mip" 8 1 "begin" 1 NA 0.0100000000000002 0 0.02 FALSE FALSE
"mip" 8 1 "end" 1 NA 0.02 0 0.0100000000000002 FALSE FALSE
"mip" 8 1 "middle" 1 NA 0.00999999999999979 0 0.02 FALSE FALSE
"mip" 8 2 "begin" 2 NA 0.0199999999999996 0 0.02 FALSE FALSE
"mip" 8 2 "end" 2 NA 0.0100000000000002 0 0.0199999999999996 FALSE FALSE
"mip" 8 2 "middle" 2 NA 0.02 0 0.0100000000000002 FALSE FALSE
"mip" 8 3 "begin" 3 NA 0 0.02 0.0100000000000002 FALSE FALSE
"mip" 8 3 "end" 3 NA 0.02 0 0.02 FALSE FALSE
"mip" 8 3 "middle" 3 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 8 4 "begin" 4 NA 0.0100000000000002 0 0.0100000000000002 FALSE FALSE
"mip" 8 4 "end" 4 NA 0.02 0 0.02 FALSE FALSE
"mip" 8 4 "middle" 4 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 8 5 "begin" 5 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 8 5 "end" 5 NA 0.0100000000000002 0 0.0100000000000002 FALSE FALSE
"mip" 8 5 "middle" 5 NA 0 0.00999999999999995 0.02 FALSE FALSE
"mip" 8 6 "begin" 6 NA 0.02 0 0.0100000000000002 FALSE FALSE
"mip" 8 6 "end" 6 NA 0.0100000000000002 0 0.02 FALSE FALSE
"mip" 8 6 "middle" 6 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 8 7 "begin" 1 NA 0.0100000000000002 0 0.02 FALSE FALSE
"mip" 8 7 "end" 7 NA 0 0.02 0.00999999999999979 FALSE FALSE
"mip" 8 7 "middle" 7 NA 0 0.01 0.02 FALSE FALSE
"mip" 8 8 "begin" 1 NA 0.02 0 0.00999999999999979 FALSE FALSE
"mip" 8 8 "end" 8 NA 0.0100000000000002 0 0.02 FALSE FALSE
