"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 26 1 "end" 1 NA 0.0300000000000002 0.02 0.04 FALSE FALSE
"mip" 26 1 "middle" 1 NA 0.0599999999999996 0 0.0600000000000005 FALSE FALSE
"mip" 27 1 "begin" 1 NA 0.0499999999999998 0 0.04 FALSE FALSE
"mip" 27 1 "end" 1 NA 0.0499999999999998 0 0.04 FALSE FALSE
"mip" 27 1 "middle" 1 NA 0.0700000000000003 0 0.0600000000000005 FALSE FALSE
"mip" 28 1 "begin" 1 NA 0.0599999999999996 0 0.0600000000000005 FALSE FALSE
"mip" 28 1 "end" 1 NA 0.04 0 0.04 FALSE FALSE
"mip" 28 1 "middle" 1 NA 0.0699999999999994 0 0.0600000000000005 FALSE FALSE
"mip" 29 1 "begin" 1 NA 0.0599999999999996 0 0.0599999999999996 FALSE FALSE
"mip" 29 1 "end" 1 NA 0.0500000000000007 0 0.0499999999999998 FALSE FALSE
"mip" 29 1 "middle" 1 NA 0.04 0 0.0499999999999998 FALSE FALSE
"mip" 30 1 "begin" 1 NA 0.0500000000000007 0 0.0499999999999998 FALSE FALSE
"mip" 30 1 "end" 1 NA 0.0700000000000003 0 0.0599999999999996 FALSE FALSE
"mip" 30 1 "middle" 1 NA 0.0500000000000007 0 0.0499999999999998 FALSE FALSE
"mip" 31 1 "begin" 1 NA 0.0599999999999996 0 0.0700000000000003 FALSE FALSE
"mip" 31 1 "end" 1 NA 0.0799999999999992 0 0.0800000000000001 FALSE FALSE
"mip" 31 1 "middle" 1 NA 0.0600000000000005 0 0.0700000000000003 FALSE FALSE
"mip" 32 1 "begin" 1 NA 0.0600000000000005 0 0.0700000000000003 FALSE FALSE
"mip" 32 1 "end" 1 NA 0.0599999999999987 0 0.0700000000000003 FALSE FALSE
"mip" 32 1 "middle" 1 NA 0.0600000000000005 0 0.0600000000000005 FALSE FALSE
"mip" 33 1 "begin" 1 NA 0.0700000000000003 0 0.0600000000000005 FALSE FALSE
"mip" 33 1 "end" 1 NA 0.0599999999999987 0 0.0700000000000003 FALSE FALSE
"mip" 33 1 "middle" 1 NA 0.0600000000000005 0 0.0700000000000003 FALSE FALSE
"mip" 34 1 "begin" 1 NA 0.0600000000000005 0 0.0700000000000003 FALSE FALSE
"mip" 34 1 "end" 1 NA 0.0600000000000005 0 0.0700000000000003 FALSE FALSE
"mip" 34 1 "middle" 1 NA 0.0700000000000003 0 0.0799999999999983 FALSE FALSE
"mip" 35 1 "begin" 1 NA 0.0700000000000003 0 0.0799999999999983 FALSE FALSE
"mip" 35 1 "end" 1 NA 0.0600000000000005 0 0.0600000000000005 FALSE FALSE
"mip" 35 1 "middle" 1 NA 0.0600000000000005 0 0.0600000000000005 FALSE FALSE
"mip" 36 1 "begin" 1 NA 0.0600000000000005 0 0.0700000000000003 FALSE FALSE
"mip" 36 1 "end" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 36 1 "middle" 1 NA 0.0800000000000001 0 0.0700000000000003 FALSE FALSE
"mip" 37 1 "begin" 1 NA 0.0600000000000005 0.02 0.0800000000000001 FALSE FALSE
"mip" 37 1 "end" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 37 1 "middle" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 38 1 "begin" 1 NA 0.0700000000000003 0 0.0800000000000001 FALSE FALSE
"mip" 38 1 "end" 1 NA 0.0800000000000001 0 0.0700000000000003 FALSE FALSE
"mip" 38 1 "middle" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 39 1 "begin" 1 NA 0.0599999999999987 0 0.0600000000000005 FALSE FALSE
"mip" 39 1 "end" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 39 1 "middle" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 40 1 "begin" 1 NA 0.0600000000000005 0.00999999999999998 0.0799999999999983 FALSE FALSE
"mip" 40 1 "end" 1 NA 0.0899999999999999 0 0.0899999999999999 FALSE FALSE
"mip" 40 1 "middle" 1 NA 0.0799999999999983 0 0.0800000000000001 FALSE FALSE
"mip" 41 1 "begin" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 41 1 "end" 1 NA 0.0800000000000001 0 0.0700000000000003 FALSE FALSE
"mip" 41 1 "middle" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 42 1 "begin" 1 NA 0.0600000000000005 0.02 0.0700000000000003 FALSE FALSE
"mip" 42 1 "end" 1 NA 0.100000000000001 0 0.0999999999999996 FALSE FALSE
"mip" 42 1 "middle" 1 NA 0.0700000000000003 0 0.0699999999999985 FALSE FALSE
"mip" 43 1 "begin" 1 NA 0.0800000000000001 0 0.0800000000000001 FALSE FALSE
"mip" 43 1 "end" 1 NA 0.0999999999999996 0 0.100000000000001 FALSE FALSE
"mip" 43 1 "middle" 1 NA 0.0899999999999999 0 0.0899999999999999 FALSE FALSE
"mip" 44 1 "begin" 1 NA 0.0899999999999999 0 0.0899999999999981 FALSE FALSE
"mip" 44 1 "end" 1 NA 0.0899999999999999 0 0.0899999999999999 FALSE FALSE
"mip" 44 1 "middle" 1 NA 0.0700000000000003 0 0.0700000000000003 FALSE FALSE
"mip" 45 1 "begin" 1 NA 0.0800000000000018 0 0.0799999999999983 FALSE FALSE
"mip" 45 1 "end" 1 NA 0.100000000000001 0 0.100000000000001 FALSE FALSE
"mip" 45 1 "middle" 1 NA 0.0899999999999999 0 0.0899999999999999 FALSE FALSE
"mip" 46 1 "begin" 1 NA 0.0800000000000018 0.02 0.0999999999999979 FALSE FALSE
"mip" 46 1 "end" 1 NA 0.0899999999999999 0 0.0999999999999979 FALSE FALSE
"mip" 46 1 "middle" 1 NA 0.0899999999999999 0 0.0899999999999999 FALSE FALSE
"mip" 47 1 "begin" 1 NA 0.0899999999999999 0 0.0899999999999999 FALSE FALSE
"mip" 47 1 "end" 1 NA 0.0599999999999987 0 0.0899999999999999 FALSE FALSE
"mip" 47 1 "middle" 1 NA 0.0900000000000034 0 0.0899999999999999 FALSE FALSE
"mip" 48 1 "begin" 1 NA 0.100000000000001 0 0.100000000000001 FALSE FALSE
"mip" 48 1 "end" 1 NA 0.0799999999999983 0.00999999999999995 0.0899999999999999 FALSE FALSE
"mip" 48 1 "middle" 1 NA 0.0899999999999999 0 0.0899999999999999 FALSE FALSE
"mip" 49 1 "begin" 1 NA 0.0899999999999999 0 0.100000000000001 FALSE FALSE
"mip" 49 1 "end" 1 NA 0.100000000000001 0 0.0899999999999999 FALSE FALSE
"mip" 49 1 "middle" 1 NA 0.0899999999999999 0 0.0999999999999979 FALSE FALSE
"mip" 50 1 "begin" 1 NA 0.109999999999999 0 0.109999999999999 FALSE FALSE
"mip" 50 1 "end" 1 NA 0.0899999999999999 0 0.0999999999999979 FALSE FALSE
"mip" 50 1 "middle" 1 NA 0.109999999999999 0 0.109999999999999 FALSE FALSE
"mip" 3 2 "begin" 2 NA 0.00999999999999801 0 0.00999999999999801 FALSE FALSE
"mip" 3 2 "end" 2 NA 0 0 0 FALSE FALSE
"mip" 3 2 "middle" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 4 2 "begin" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 4 2 "end" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 4 2 "middle" 2 NA 0.00999999999999801 0 0.00999999999999801 FALSE FALSE
