"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 1 1 "middle" 1 1 0 0 0 FALSE FALSE
"mip" 2 1 "middle" 1 NA 0.00999999999999091 0 0.00999999999976353 FALSE FALSE
"mip" 2 2 "middle" 2 NA 0.0100000000000193 0 0.00999999999976353 FALSE FALSE
"mip" 3 1 "middle" 1 NA 0.0199999999999818 0 0.0199999999999818 FALSE FALSE
"mip" 3 2 "middle" 2 NA 0.00999999999999091 0 0.0199999999999818 FALSE FALSE
"mip" 3 3 "middle" 3 NA 0.0200000000000102 0 0.0199999999999818 FALSE FALSE
"mip" 4 1 "middle" 1 NA 0.0100000000000193 0 0.0100000000002183 FALSE FALSE
"mip" 4 2 "middle" 2 NA 0 0.00999999999999979 0.0100000000002183 FALSE FALSE
"mip" 4 3 "middle" 3 NA 0.0200000000000102 0 0.0199999999999818 FALSE FALSE
"mip" 4 4 "middle" 4 NA 0.0199999999999818 0 0.0100000000002183 FALSE FALSE
"mip" 5 1 "middle" 1 NA 0.0199999999999818 0 0.0199999999999818 FALSE FALSE
"mip" 5 2 "middle" 2 NA 0.0200000000000102 0 0.0199999999999818 FALSE FALSE
"mip" 5 3 "middle" 3 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 5 4 "middle" 4 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 5 5 "middle" 5 NA 0.00999999999999091 0.0199999999999996 0.0300000000002001 FALSE FALSE
"mip" 6 1 "middle" 1 NA 0.0199999999999818 0 0.0199999999999818 FALSE FALSE
"mip" 6 2 "middle" 2 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 6 3 "middle" 3 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 6 4 "middle" 4 NA 0.0199999999999818 0 0.0199999999999818 FALSE FALSE
"mip" 6 5 "middle" 5 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 6 6 "middle" 6 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 7 1 "middle" 1 NA 0.039999999999992 0 0.0300000000002001 FALSE FALSE
"mip" 7 2 "middle" 2 NA 0.0100000000000193 0 0.0199999999999818 FALSE FALSE
"mip" 7 3 "middle" 3 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 7 4 "middle" 4 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 7 5 "middle" 5 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 7 6 "middle" 6 NA 0.0200000000000102 0.0100000000000007 0.0399999999999636 FALSE FALSE
"mip" 7 7 "middle" 7 NA 0.0199999999999818 0 0.00999999999976353 FALSE FALSE
"mip" 8 1 "middle" 1 NA 0.0100000000000193 0.0199999999999996 0.0300000000002001 FALSE FALSE
"mip" 8 2 "middle" 2 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 8 3 "middle" 3 NA 0.039999999999992 0 0.0300000000002001 FALSE FALSE
"mip" 8 4 "middle" 4 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 8 5 "middle" 5 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 8 6 "middle" 6 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 8 7 "middle" 7 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 8 8 "middle" 8 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 9 1 "middle" 1 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 9 2 "middle" 2 NA 0.039999999999992 0 0.0500000000001819 FALSE FALSE
"mip" 9 3 "middle" 3 NA 0.039999999999992 0 0.0299999999997453 FALSE FALSE
"mip" 9 4 "middle" 4 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 9 5 "middle" 5 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 9 6 "middle" 6 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 9 7 "middle" 7 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 9 8 "middle" 8 NA 0.0500000000000114 0 0.0399999999999636 FALSE FALSE
"mip" 9 9 "middle" 9 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 10 1 "middle" 1 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 10 2 "middle" 2 NA 0.0499999999999829 0 0.0499999999997272 FALSE FALSE
"mip" 10 3 "middle" 3 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 10 4 "middle" 4 NA 0.0300000000000011 0.00999999999999979 0.0399999999999636 FALSE FALSE
"mip" 10 5 "middle" 5 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 10 6 "middle" 6 NA 0.0500000000000114 0 0.0500000000001819 FALSE FALSE
"mip" 10 7 "middle" 7 NA 0.0300000000000011 0 0.0299999999997453 FALSE FALSE
"mip" 10 8 "middle" 8 NA 0.0500000000000114 0 0.0499999999997272 FALSE FALSE
"mip" 10 9 "middle" 9 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 10 10 "middle" 10 NA 0.0300000000000011 0 0.0300000000002001 FALSE FALSE
"mip" 11 1 "middle" 1 NA 0.0500000000000114 0 0.0399999999999636 FALSE FALSE
